sl_id,sl_store,sl_address,sl_address2,sl_city,sl_state,sl_zip,sl_country,sl_latitude,sl_longitude,sl_tags,sl_description,sl_email,sl_url,sl_hours,sl_phone,sl_fax,sl_image
,Howard & Paulina ,1660 W Howard St ,,Chicago,IL ,60626,United States,42.0194837,-87.6729606,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,(773) 764-0773,(773) 764-1070,
,Kedzie & Elston ,3510 N Elston Ave ,,Chicago,IL ,60618,United States,41.9448099,-87.706871,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,(773) 588-8709,(773) 588-3479,
,Laramie & Diversey ,5200 W Diversey Ave ,,Chicago,IL ,60641,United States,41.9316699,-87.756649,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,(773) 282-2020,(773) 282-1503,
,Madison & 17th ,1700 Madison St ,,Maywood,IL ,60153,United States,41.8784,-87.853988,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,(708) 344-5860,(708) 344-0791,
,Madison & 5th ,1000 S 5th Ave ,,Maywood,IL ,60153,United States,41.878815,-87.839191,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,(708) 343-2525,(708) 343-0338,
,Montrose & Central ,4354 N Central ,,Chicago,IL ,60634,United States,41.9599448,-87.7672393,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,(773) 545-4456,(773) 545-7916,
,New 51st & Western ,5100 S Western Ave ,,Chicago,IL ,60609,United States,41.8010266,-87.6846516,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,(773) 476-1221,(773) 476-3761,
,New Lincoln & Foster ,5204 N Lincoln Ave ,,Chicago,IL ,60625,United States,41.976131,-87.6923761,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,(773) 561-8659,(773) 561-2202,
,Pulaski Chicago ,801 N. Pulaski Road,,Chicago,IL,60651,United States,41.895668,-87.725782,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,(773) 278-8100,(773) 278-2671,
,Roosevelt & Central ,5429 W Roosevelt Rd ,,Cicero,IL,60804,United States,41.864806,-87.761034,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,(708) 863-4300,(708) 863-8565,
,Sawyer & 47th ,3224 W 47th St ,,Chicago,IL,60632,United States,41.808347,-87.705028,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,(773) 927-3900,(773) 927-3965,
,Skokie ,4924 W Dempster St ,,Skokie,IL,60076,United States,42.0409165,-87.7504745,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,(847) 933-1333,(847) 933-1348,
,Western & 71st ,7056 S Western Ave ,,Chicago,IL,60636,United States,41.7651766,-87.6833338,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,(773) 476-2721,(773) 476-2853,
,26th & Pulaski ,4004 W. 26th St.,,Chicago,IL,60623,United States,41.844259,-87.7248283,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,(773) 522-2525,773-522-8738,
,43rd & Archer ,4312  S. Archer Ave.,,Chicago,IL,60632,United States,41.8152339,-87.70285,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,(773) 523-4466,773-523-9092,
,47th & Damen ,2001 W. 47th St.,,Evergreen Park,IL,60609,United States,47.9555555,-122.211927,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,(773) 247-5261,773-247-8097,
,47th & Western ,2400 W. 47th St.,,Chicago,IL,60609,United States,41.8084384,-87.6844451,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,(773) 346-1100,773-346-1105,
,95th Western ,2507 W. 95th Street,,Chicago,IL,60805,United States,41.7206418,-87.6852428,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,(708) 425-0118,708-423-5803 ,
,Addison Western ,3601 N. Western Ave.,,Chicago,IL,60618,United States,41.9467593,-87.6881601,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,(773) 528-8105,773-528-5810,
,Archer California ,4004 S. Archer Ave.,,Chicago,IL,60632,United States,41.821171,-87.693273,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,(773) 523-6300,773-523-9536,
,Armitage Kostner ,4400 W. Armitage Ave.,,Chicago,IL,60639,United States,41.9172807,-87.7365695,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,(773) 342-0995,773-342-2087,
,Ashland & 47th ,4655 S. Ashland Ave.,,Calumet Park,IL,60609,United States,41.688423,-87.6610395,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,(773) 523-2111,773-523-8265,
,Cal Touhy ,7201 N. California Ave.,,Chicago,IL,60645,United States,42.0120667,-87.6996907,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,(773) 761-2899,773-761-0508,
,Calumet Park ,1431 W. 127th St.,,Chicago,IL,60827,United States,41.6629745,-87.6578045,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,(708) 385-2931,708-385-8710,
,Cermak Damen ,1958 W. Cermak Rd.,,Evanston,IL,60608,United States,41.848922,-87.6695189,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,(773) 254-5400 ,773-247-7435,
,Clark-Lunt ,7000 N. Clark St.,,Chicago,IL,60626,United States,42.009377,-87.674362,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,(773) 764-8600,773-764-9565,
,Dempster Dodge ,1830 W. Dempster Ave.,,Chicago,IL,60202,United States,42.040864,-87.69886,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,(847) 491-1400,847-491-1405,
,Kostner-Diversey ,4400 W. Diversey Ave.,,Chicago,IL,60639,United States,41.931907,-87.736968,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,(773) 489-1552,773-489-1558,
,North Cicero ,1617 N. Cicero Ave.,,Cicero,IL,60639,United States,41.8888678,-87.7457414,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,(773) 276-6688,773-276-7921,
,North Laramie ,5200 W. North Ave.,,Chicago,IL,60639,United States,41.909808,-87.755974,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,(773) 237-1306,773-237-6250,
,Roosevelt & Jefferson ,5947 W. Roosevelt Rd.,,Cicero ,IL ,60804,United States,41.8652019,-87.773905,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,(708) 656-8585,708-656-9288,
,Roosevelt Austin ,570 W Roosevelt Rd,,Chicago ,IL ,60607,United States,41.867588,-87.641953,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,(312) 360-0904,312-360-1312,
,Veterans Square ,4835 N. Milwaukee Ave,,Skokie ,IL ,60630,United States,41.9772903,-87.7691158,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,(773) 777-9988,773-777-9977,
,10 Check Agencies,"6321 S. Martin Luther King Dr Chicago, IL 60637",,,,,United States,41.7795943,-87.6154631,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,773-493-2769,,
,103rd And Halsted C E Inc,"801 W. 103rd St Chicago, IL 60643",,,,,United States,41.70666,-87.643069,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,773-233-6068,,
,103rd And Western C E,"10257 S. Western Ave Chicago, IL 60643",,,,,United States,41.7068313,-87.6816123,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,773-239-4300,,
,110th And Halsted C E,"11057 S. Halsted Chicago, IL 60628",,,,,United States,41.692498,-87.642,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,773-785-7404,,
,115th And Michigan C E,"100 E. 115th St Chicago, IL 60628",,,,,United States,41.6853657,-87.6200787,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,773-264-0601,,
,141 W Jackson Blvd C E,"141 W. Jackson Blvd Chicago, IL 60604",,,,,United States,41.8780574,-87.6322115,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,312-939-2167,,
,147th And Dixie Highway C E,"14725 S. Dixie Hwy Harvey, IL 60426",,,,,United States,41.621691,-87.674016,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,708-331-5354,,
,147th And Halsted C E,"14701 S. Halsted Harvey, IL 60426",,,,,United States,41.6225526,-87.641291,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,708-596-0328,,
,159th And Kedzie C E,"3200 W. 159th St Markham, IL 60426",,,,,United States,41.6008529,-87.6942183,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,708-331-2711,,
,159th And Laramie C E,"5201 W 159th St Oak Forest, IL 60452",,,,,United States,41.6030312,-87.7463064,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,708-535-1100,,
,171st And Harlem C E,"7128 W. 171st St Tinley Park, IL 60477",,,,,United States,41.5805323,-87.7920548,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,708-633-9200,,
,18th And Ashland C E,"1804 S. Ashland Ave Chicago, IL 60608",,,,,United States,41.857517,-87.666517,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,312-829-9141,,
,26th And Central Park C E,"3540 W. 26th St Chicago, IL 60623",,,,,United States,41.8444125,-87.7139714,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,773-762-8330,,
,26th And Kedzie C E,"3221 W. 26th St Chicago, IL 60623",,,,,United States,41.844248,-87.705881,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,773-247-2074,,
,31st And Morgan Check Cashers,"906 W. 31st St Chicago, IL 60608",,,,,United States,41.8381001,-87.649117,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,312-225-7591,,
,31st And Wallace C E,"3101 S. Wallace Ave Chicago, IL 60616",,,,,United States,41.8379954,-87.641281,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,312-225-7885,,
,35th And Ashland C E,"1556 W. 35th St Chicago, IL 60609",,,,,United States,41.8304814,-87.6653659,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,773-523-9266,,
,47th And Calumet C E Inc,"310 E. 47th St Chicago, IL 60653",,,,,United States,41.8094516,-87.6190442,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,773-268-9494,,
,47th And Halsted Check Cashers,"4651 S. Halsted St Chicago, IL 60609",,,,,United States,41.809197,-87.645167,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,773-373-0416,,
,47th And King Drive C E,"432 E. 47th St Chicago, IL 60653",,,,,United States,41.8095162,-87.6149908,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,773-268-4363,,
,47th And Michigan C E Inc,"4700 S. Michigan Ave Chicago, IL 60615",,,,,United States,41.80898,-87.623292,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,773-924-2500,,
,51st And Kedzie C E,"5100 S. Kedzie Ave Chicago, IL 60632",,,,,United States,41.8007068,-87.7038991,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,773-434-6648,,
,59th And Kedzie C E,"5903 S. Kedzie Ave Chicago, IL 60629",,,,,United States,41.7861881,-87.7033096,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,773-434-2161,,
,63rd And Cottage C E,"800 E. 63rd St Chicago, IL 60637",,,,,United States,41.7804097,-87.6059051,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,773-667-1300,,
,63rd And Kedzie C E,"3148 W. 63rd St Chicago, IL 60629",,,,,United States,41.7791141,-87.7026311,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,773-737-6267,,
,63rd And Morgan C E,"6301 S. Morgan Chicago, IL 60621",,,,,United States,41.7796752,-87.6496137,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,773-471-4900,,
,69th And Ashland C E,"6858 S. Ashland Ave Chicago, IL 60636",,,,,United States,41.768705,-87.664232,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,773-436-7300,,
,71st And Jeffery C E Inc,"1953 E. 71st St Chicago, IL 60649",,,,,United States,41.7659964,-87.5767059,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,773-684-7744,,
,71st And Wentworth C E,"7057 S. Wentworth Ave Chicago, IL 60621",,,,,United States,41.765662,-87.62945,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,773-783-1515,,
,75th And King Drive C E,"345 E. 75th St Chicago, IL 60619",,,,,United States,41.7583703,-87.6163031,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,773-483-4787,,
,75th And Stony Island C E,"1611 E. 75th St Chicago, IL 60649",,,,,United States,41.758519,-87.585163,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,773-684-5821,,
,79th And Cottage C E,"7859 S. Cottage Grove Ave Chicago, IL 60619",,,,,United States,41.7517956,-87.6052162,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,773-874-2713,,
,87th And Bishop C E,"1435 W. 87th St Chicago, IL 60620",,,,,United States,41.735513,-87.659629,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,773-779-8282,,
,87th And Commerical,"8701 S. Commercial Ave Chicago, IL 60619",,,,,United States,41.737223,-87.551013,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,773-721-0242,,
,87th And Halsted C E,"808 W. 87th St Unit D Chicago, IL 60620",,,,,United States,41.736483,-87.644072,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,773-224-7400,,
,95th And Cicero C E,"9524 S. Cicero Ave. Oak Lawn, IL 60453",,,,,United States,41.718933,-87.7411319,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,708-424-6300,,
,95th And State C E,"9435 S. State St Chicago, IL 60619",,,,,United States,41.722482,-87.62336,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,773-785-1117,,
,A Western And Lake 24 Hour C E,"149 N. Western Ave Chicago, IL 60612",,,,,United States,41.884475,-87.6860443,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,312-421-1500,,
,A Z Zenith C E,"1938 W. North Ave Chicago, IL 60622",,,,,United States,41.910691,-87.6765952,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,773-227-6656,,
,Active Insurance Agency Inc,"1034 N. Ashland Ave Chicago, IL 60622",,,,,United States,41.9007493,-87.6677435,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,773-278-9700,,
,Algonquin  Wilke C E,"1764 W. Algonquin Rd Arlington Heights, IL 60004",,,,,United States,42.057907,-88.0068771,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,847-818-0885,,
,Algonquin Busse C E,"1725 W. Algonquin Rd Mt. Prospect, IL 60056",,,,,United States,42.0358786,-87.9611942,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,847-228-0625,,
,Armitage Racine C E,"1164 W. Armitage Ave Chicago, IL 60614",,,,,United States,41.9183189,-87.657884,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,773-549-0079,,
,Ashland And 59th C E,"5913 S. Ashland Ave Chicago, IL 60636",,,,,United States,41.7862889,-87.66399,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,773-434-7615,,
,Ashland And 74th C E,"7315 S. Ashland Ave Chicago, IL 60620",,,,,United States,41.760829,-87.663271,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,773-347-0880,,
,Ashland And 79th C E,"7901 S. Ashland Ave Chicago, IL 60620",,,,,United States,41.750155,-87.663043,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,773-874-2439,,
,Ashland Division C E,"1545 W. Division St Chicago, IL 60622",,,,,United States,41.9030514,-87.6669006,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,773-276-5460,,
,Aurora New York Street C E Inc,"1001 E. New York St Aurora, IL 60505",,,,,United States,41.753837,-88.290825,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,630-820-1781,,
,Azteca 2  28th Street C E,"2800 S. Cicero Ave Cicero, IL 60804",,,,,United States,41.841875,-87.744313,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,708 652-8720,,
,Azteca 26th C E,"4327 W. 26th St Chicago, IL 60623",,,,,United States,41.843871,-87.732119,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,773-542-4866,,
,Azteca 3 New 39th And Kedzie C E,"3901 S. Kedzie Ave Chicago, IL 60632",,,,,United States,41.822335,-87.704165,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,773-847-5600,,
,Bellwood CE,"601 Mannheim Road Bellwood, IL 60104",,,,,United States,41.881248,-87.882864,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,708-547-6996,,
,Belmont Cicero C E,"3200 N. Cicero Ave Chicago, IL 60641",,,,,United States,41.939059,-87.747251,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,773-736-0118,,
,Bridgeview C E,"8725-27 S. Harlem Ave. Bridgeview, IL 60455",,,,,United States,41.7310038,-87.7989165,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,708-598-3525,,
,Broadway Foster C E,"5153 N. Broadway St Chicago, IL 60640",,,,,United States,41.9757863,-87.6598488,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,773-561-3136,,
,Broadway Irving Check Changes C E,"3959 N. Broadway St Chicago, IL 60613",,,,,United States,41.9546423,-87.6502404,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,773-537-2100,,
,Buckeye Check Cashing / Fast Cash 369,"1113 W. Chicago Ave,Chicago, IL 60642",,,,,United States,41.896038,-87.65576,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,312-850-9999,,
,Buckeye Check Cashing / Fast Cash 370,"1238 N. Ashland Ave,Chicago, IL 60622",,,,,United States,41.9048851,-87.6678643,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,773-235-5500,,
,Buckeye Check Cashing / Fast Cash 373,"4705 N. Pulaski, Chicago,IL 60630",,,,,United States,41.9665226,-87.7279573,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,773-279-1880,,
,Buckeye Check Cashing / Fast Cash 374,"1916 E. 95th St,Chicago, IL 60617",,,,,United States,41.7224533,-87.5766233,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,773-731-7170,,
,Buckeye Check Cashing / Fast Cash 376,"4853 N. Broadway,Chicago,IL 60640",,,,,United States,41.9702222,-87.6589357,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,773-271-3595,,
,Centex C E,"1660 Greenleaf Ave Elk Grove Village, IL 60007",,,,,United States,42.0040149,-87.9607749,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,847-981-0405,,
,Central Evanston C E,"2608 Prairie Ave Evanston, IL 60201",,,,,United States,42.0645613,-87.7000787,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,847-328-7970,,
,Cermak And Laramie C E,"5140 W. Cermak Rd Cicero, IL 60804",,,,,United States,41.8512124,-87.7532318,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,708-652-0758,,
,Cermak Wabash,"2109 S. Wabash Ave Chicago, IL 60616",,,,,United States,41.853926,-87.625128,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,312-842-4910,,
,Chicago Municipal Employees C U,"18 S. Michigan Ave Ste#1000 Chicago IL, 60603",,,,,United States,41.88145,-87.6246817,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,312-372-6930,,
,Chicago Municipal Employees C U Division,"4909 W. Divison St Chicago, IL 60651",,,,,United States,41.9022957,-87.7492575,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,312-236-2326,,
,Chicago Ridge C E,"10405 S. Ridgeland Ave Chicago Ridge, IL 60415",,,,,United States,41.7031005,-87.7792453,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,708-499-2790,,
,Clark Diversey C E,"2735 N. Clark St Chicago, IL 60614",,,,,United States,41.9323966,-87.6445822,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,773-348-5474,,
